Sim	Year	Month	QM	ontNTS	ontNBS	erieOut	stlouisontOut	iceInd
1	2022	1	1	8181	2148	6033	1055	0
2	2022	1	2	8145	2105	6040	1407	0
3	2022	1	3	7772	1640	6132	1441	0
4	2022	1	4	7363	1296	6067	1340	0
5	2022	2	5	7532	1448	6084	1133	2
6	2022	2	6	6899	837	6062	1104	2
7	2022	2	7	8879	2952	5927	1197	1
8	2022	2	8	8237	2142	6095	1650	1
9	2022	3	9	9357	3240	6117	2150	0
10	2022	3	10	8396	2378	6018	2453	0
11	2022	3	11	9129	2939	6190	2122	0
12	2022	3	12	9798	3520	6278	2260	0
13	2022	4	13	8984	2769	6215	2631	0
14	2022	4	14	9855	3566	6289	2956	0
15	2022	4	15	9034	2732	6302	3202	0
16	2022	4	16	8669	2479	6190	2856	0
17	2022	5	17	7197	1091	6106	2443	0
18	2022	5	18	7173	1154	6019	1876	0
19	2022	5	19	6415	432	5983	1316	0
20	2022	5	20	6295	389	5906	982	0
21	2022	6	21	6028	207	5821	800	0
22	2022	6	22	6693	796	5897	748	0
23	2022	6	23	6561	645	5916	821	0
24	2022	6	24	6294	430	5864	643	0
25	2022	7	25	6282	447	5835	648	0
26	2022	7	26	5995	237	5758	604	0
27	2022	7	27	6005	275	5730	574	0
28	2022	7	28	5811	101	5710	544	0
29	2022	8	29	5637	-35	5672	505	0
30	2022	8	30	5401	-230	5631	476	0
31	2022	8	31	5573	-100	5673	425	0
32	2022	8	32	5776	93	5683	479	0
33	2022	9	33	5450	-149	5599	397	0
34	2022	9	34	5872	274	5598	489	0
35	2022	9	35	5152	-340	5492	384	0
36	2022	9	36	4822	-584	5406	414	0
37	2022	10	37	5612	210	5402	366	0
38	2022	10	38	4635	-653	5288	486	0
39	2022	10	39	4927	-426	5353	480	0
40	2022	10	40	4556	-710	5266	384	0
41	2022	11	41	6407	1098	5309	876	0
42	2022	11	42	5422	162	5260	872	0
43	2022	11	43	5441	203	5238	1180	0
44	2022	11	44	5156	-132	5288	1181	0
45	2022	12	45	6084	771	5313	1028	0
46	2022	12	46	5633	176	5457	1213	0
47	2022	12	47	7184	1596	5588	1384	0
48	2022	12	48	7633	1987	5646	1476	0
49	2023	1	1	7317	1692	5625	1474	0
50	2023	1	2	6950	1223	5727	1315	0
51	2023	1	3	8378	2545	5833	1400	0
52	2023	1	4	8159	2118	6041	1766	0
53	2023	2	5	8881	2604	6277	1673	0
54	2023	2	6	7827	1394	6433	1521	0
55	2023	2	7	7707	1371	6336	1183	0
56	2023	2	8	7179	857	6322	1033	0
57	2023	3	9	7810	1380	6430	947	0
58	2023	3	10	9059	2577	6482	1183	0
59	2023	3	11	9433	2715	6718	1434	0
60	2023	3	12	8514	1753	6761	1289	0
61	2023	4	13	9912	3028	6884	1761	0
62	2023	4	14	9660	2775	6885	1987	0
63	2023	4	15	8680	1831	6849	1682	0
64	2023	4	16	7532	834	6698	1291	0
65	2023	5	17	6948	383	6565	1019	0
66	2023	5	18	8605	2001	6604	1175	0
67	2023	5	19	7959	1378	6581	1479	0
68	2023	5	20	7836	1247	6589	1333	0
69	2023	6	21	7017	459	6558	1249	0
70	2023	6	22	6511	59	6452	1135	0
71	2023	6	23	6472	47	6425	892	0
72	2023	6	24	6709	272	6437	823	0
73	2023	7	25	6625	262	6363	747	0
74	2023	7	26	6741	343	6398	711	0
75	2023	7	27	6596	294	6302	846	0
76	2023	7	28	6139	-164	6303	734	0
77	2023	8	29	6188	-109	6297	685	0
78	2023	8	30	6395	136	6259	665	0
79	2023	8	31	6374	148	6226	681	0
80	2023	8	32	5945	-200	6145	717	0
81	2023	9	33	5789	-315	6104	646	0
82	2023	9	34	6253	168	6085	660	0
83	2023	9	35	6049	9	6040	622	0
84	2023	9	36	5448	-487	5935	568	0
85	2023	10	37	5739	-151	5890	522	0
86	2023	10	38	5226	-603	5829	565	0
87	2023	10	39	4966	-776	5742	541	0
88	2023	10	40	5102	-524	5626	416	0
89	2023	11	41	5247	-341	5588	409	0
90	2023	11	42	5049	-473	5522	380	0
91	2023	11	43	6326	682	5644	503	0
92	2023	11	44	5483	-147	5630	694	0
93	2023	12	45	5773	148	5625	563	0
94	2023	12	46	7439	1626	5813	937	0
95	2023	12	47	6272	593	5679	1383	0
96	2023	12	48	5971	270	5701	1205	0
97	2024	1	1	6067	414	5653	1102	0
98	2024	1	2	6598	860	5738	1076	0
99	2024	1	3	6686	884	5802	1291	0
100	2024	1	4	7299	1318	5981	1610	0
101	2024	2	5	6610	724	5886	1688	0
102	2024	2	6	6716	953	5763	1586	0
103	2024	2	7	6655	764	5891	1644	0
104	2024	2	8	6675	844	5831	1668	0
105	2024	3	9	7056	1078	5978	1617	0
106	2024	3	10	7237	1197	6040	1720	0
107	2024	3	11	7452	1459	5993	2077	0
108	2024	3	12	9202	3007	6195	2701	0
109	2024	4	13	7309	1309	6000	2627	0
110	2024	4	14	6928	966	5962	1822	0
111	2024	4	15	6960	870	6090	1792	0
112	2024	4	16	7685	1562	6123	1860	0
113	2024	5	17	7729	1628	6101	1931	0
114	2024	5	18	7642	1515	6127	1596	0
115	2024	5	19	8204	1899	6305	1423	0
116	2024	5	20	7511	1228	6283	1097	0
117	2024	6	21	6871	549	6322	817	0
118	2024	6	22	6313	54	6259	852	0
119	2024	6	23	6431	174	6257	739	0
120	2024	6	24	6290	60	6230	670	0
121	2024	7	25	6566	311	6255	648	0
122	2024	7	26	6088	-97	6185	688	0
123	2024	7	27	6423	236	6187	666	0
124	2024	7	28	6111	-101	6212	655	0
125	2024	8	29	6449	220	6229	676	0
126	2024	8	30	6405	221	6184	579	0
127	2024	8	31	5787	-326	6113	643	0
128	2024	8	32	6093	-26	6119	674	0
129	2024	9	33	6496	334	6162	723	0
130	2024	9	34	5715	-365	6080	645	0
131	2024	9	35	5974	-42	6016	632	0
132	2024	9	36	5362	-580	5942	665	0
133	2024	10	37	5130	-726	5856	620	0
134	2024	10	38	5002	-764	5766	575	0
135	2024	10	39	5314	-419	5733	488	0
136	2024	10	40	5081	-594	5675	462	0
137	2024	11	41	5674	-17	5691	497	0
138	2024	11	42	5228	-400	5628	460	0
139	2024	11	43	6072	427	5645	474	0
140	2024	11	44	5765	145	5620	542	0
141	2024	12	45	5778	153	5625	564	0
142	2024	12	46	6513	880	5633	567	0
143	2024	12	47	6104	426	5678	938	0
144	2024	12	48	6082	457	5625	879	0
145	2025	1	1	6236	691	5545	830	0
146	2025	1	2	5877	319	5558	922	0
147	2025	1	3	6588	1097	5491	842	0
148	2025	1	4	7923	2358	5565	1049	0
149	2025	2	5	7301	1566	5735	1179	0
150	2025	2	6	6645	958	5687	966	0
151	2025	2	7	9986	4097	5889	1439	0
152	2025	2	8	9066	3003	6063	1876	0
153	2025	3	9	8770	2421	6349	1726	0
154	2025	3	10	8005	1669	6336	1317	0
155	2025	3	11	8652	2219	6433	1230	0
