t,v,f
2017-01-01T05:00:00Z,74.398,"0,0"
2017-01-02T05:00:00Z,74.335,"0,0"
2017-01-03T05:00:00Z,74.332,"0,0"
2017-01-04T05:00:00Z,74.522,"0,0"
2017-01-05T05:00:00Z,74.523,"0,0"
2017-01-06T05:00:00Z,74.438,"0,0"
2017-01-07T05:00:00Z,74.416,"0,0"
2017-01-08T05:00:00Z,74.431,"0,0"
2017-01-09T05:00:00Z,74.455,"0,0"
2017-01-10T05:00:00Z,74.468,"0,0"
2017-01-11T05:00:00Z,74.524,"0,0"
2017-01-12T05:00:00Z,74.494,"0,0"
2017-01-13T05:00:00Z,74.499,"0,0"
2017-01-14T05:00:00Z,74.458,"0,0"
2017-01-15T05:00:00Z,74.484,"0,0"
2017-01-16T05:00:00Z,74.51,"0,0"
2017-01-17T05:00:00Z,74.449,"0,0"
2017-01-18T05:00:00Z,74.525,"0,0"
2017-01-19T05:00:00Z,74.538,"0,0"
2017-01-20T05:00:00Z,74.514,"0,0"
2017-01-21T05:00:00Z,74.525,"0,0"
2017-01-22T05:00:00Z,74.461,"0,0"
2017-01-23T05:00:00Z,74.434,"0,0"
2017-01-24T05:00:00Z,74.487,"0,0"
2017-01-25T05:00:00Z,74.547,"0,0"
2017-01-26T05:00:00Z,74.583,"0,0"
2017-01-27T05:00:00Z,74.673,"0,0"
2017-01-28T05:00:00Z,74.654,"0,0"
2017-01-29T05:00:00Z,74.652,"0,0"
2017-01-30T05:00:00Z,74.606,"0,0"
2017-01-31T05:00:00Z,74.57,"0,0"
2017-02-01T05:00:00Z,74.632,"0,0"
2017-02-02T05:00:00Z,74.655,"0,0"
2017-02-03T05:00:00Z,74.672,"0,0"
2017-02-04T05:00:00Z,74.672,"0,0"
2017-02-05T05:00:00Z,74.688,"0,0"
2017-02-06T05:00:00Z,74.596,"0,0"
2017-02-07T05:00:00Z,74.53,"0,0"
2017-02-08T05:00:00Z,74.693,"0,0"
2017-02-09T05:00:00Z,74.627,"0,0"
2017-02-10T05:00:00Z,74.63,"0,0"
2017-02-11T05:00:00Z,74.646,"0,0"
2017-02-12T05:00:00Z,74.636,"0,0"
2017-02-13T05:00:00Z,74.695,"0,0"
2017-02-14T05:00:00Z,74.687,"0,0"
2017-02-15T05:00:00Z,74.712,"0,0"
2017-02-16T05:00:00Z,74.713,"0,0"
2017-02-17T05:00:00Z,74.69,"0,0"
2017-02-18T05:00:00Z,74.713,"0,0"
2017-02-19T05:00:00Z,74.712,"0,0"
2017-02-20T05:00:00Z,74.681,"0,0"
2017-02-21T05:00:00Z,74.685,"0,0"
2017-02-22T05:00:00Z,74.696,"0,0"
2017-02-23T05:00:00Z,74.718,"0,0"
2017-02-24T05:00:00Z,74.672,"0,0"
2017-02-25T05:00:00Z,74.742,"0,0"
2017-02-26T05:00:00Z,74.803,"0,0"
2017-02-27T05:00:00Z,74.79,"0,0"
2017-02-28T05:00:00Z,74.742,"0,0"
2017-03-01T05:00:00Z,74.806,"0,0"
2017-03-02T05:00:00Z,74.882,"0,0"
2017-03-03T05:00:00Z,74.806,"0,0"
2017-03-04T05:00:00Z,74.78,"0,0"
2017-03-05T05:00:00Z,74.762,"0,0"
2017-03-06T05:00:00Z,74.763,"0,0"
2017-03-07T05:00:00Z,74.828,"0,0"
2017-03-08T05:00:00Z,74.882,"0,0"
2017-03-09T05:00:00Z,74.899,"0,0"
2017-03-10T05:00:00Z,74.87,"0,0"
2017-03-11T05:00:00Z,74.825,"0,0"
2017-03-12T05:00:00Z,74.836,"0,0"
