Year,Day           Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1900,  1          -        -        -        -        -        -        -        -        -      74.280   74.271   74.259
1900,  2          -        -        -        -        -        -        -        -        -      74.277   74.323   74.237
1900,  3          -        -        -        -        -        -        -        -        -      74.307   74.192   74.250
1900,  4          -        -        -        -        -        -        -        -        -      74.304   74.246   74.173
1900,  5          -        -        -        -        -        -        -        -        -      74.298   74.225   74.219
1900,  6          -        -        -        -        -        -        -        -        -      74.216   74.228   74.283
1900,  7          -        -        -        -        -        -        -        -        -      74.317   74.216   74.277
1900,  8          -        -        -        -        -        -        -        -        -      74.292   74.164   74.381
1900,  9          -        -        -        -        -        -        -        -        -      74.246   74.179   74.289
1900, 10          -        -        -        -        -        -        -        -        -      74.246   74.271   74.259
1900, 11          -        -        -        -        -        -        -        -        -      74.298   74.195     -
1900, 12          -        -        -        -        -        -        -        -        -      74.280   74.310   74.259
1900, 13          -        -        -        -        -        -        -        -        -      74.246   74.131   74.402
1900, 14          -        -        -        -        -        -        -        -        -      74.231   74.207   74.231
1900, 15          -        -        -        -        -        -        -        -        -      74.280   74.268   74.225
1900, 16          -        -        -        -        -        -        -        -        -      74.237   74.146   74.231
1900, 17          -        -        -        -        -        -        -        -      74.347   74.283   74.164   74.204
1900, 18          -        -        -        -        -        -        -        -      74.283   74.292   74.207   74.201
1900, 19          -        -        -        -        -        -        -        -      74.314   74.179   73.972   74.362
1900, 20          -        -        -        -        -        -        -        -      74.393   74.237   74.164   74.274
1900, 21          -        -        -        -        -        -        -        -      74.396   74.256   74.466   74.210
1900, 22          -        -        -        -        -        -        -        -      74.356   74.216   74.219   74.234
1900, 23          -        -        -        -        -        -        -        -      74.335   74.222   74.289   74.250
1900, 24          -        -        -        -        -        -        -        -      74.332   74.237   74.091   74.307
1900, 25          -        -        -        -        -        -        -        -      74.304   74.161   73.984   74.329
1900, 26          -        -        -        -        -        -        -        -      74.326   74.219   73.884   74.295
1900, 27          -        -        -        -        -        -        -        -      74.326   74.204   74.140   74.277
1900, 28          -        -        -        -        -        -        -        -      74.298   74.195   74.140   74.292
1900, 29          -                 -        -        -        -        -        -      74.292   74.204   74.207   74.378
1900, 30          -                 -        -        -        -        -        -      74.289   74.003   74.234   74.365
1900, 31          -                 -                 -                 -        -               74.195            74.250
1901,  1        74.204   74.210   74.109   74.283   74.551   74.545   74.582   74.499   74.347     -      74.228   74.149
1901,  2        74.332   74.207     -      74.253   74.570   74.539   74.627   74.499   74.378   74.280   74.134   74.134
1901,  3        74.189   74.152   74.042   74.192   74.536   74.631   74.566   74.512   74.402   74.310   74.100   73.933
1901,  4        74.283   74.106   74.067   74.274   74.576   74.621   74.530   74.499   74.417   74.277   74.204   74.027
1901,  5        74.213   74.219   74.057   74.335   74.557   74.576   74.493     -      74.396     -      74.128   74.027
1901,  6        74.228   74.219   74.076   74.307   74.542   74.594   74.573   74.457   74.393     -      74.131   74.006
1901,  7        74.222   74.195   74.061   74.338   74.563   74.624   74.618   74.466   74.393   74.283   74.106   74.027
