t,v,s,f,q
2017-01-01T00:00:00Z,74.308,,"0,0,0,0",v
2017-01-01T00:06:00Z,74.305,0.000,"0,0,0,0",v
2017-01-01T00:12:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T00:18:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T00:24:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T00:30:00Z,74.297,0.001,"0,0,0,0",v
2017-01-01T00:36:00Z,74.296,0.000,"0,0,0,0",v
2017-01-01T00:42:00Z,74.294,0.000,"0,0,0,0",v
2017-01-01T00:48:00Z,74.3,0.001,"0,0,0,0",v
2017-01-01T00:54:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:00:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:06:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T01:12:00Z,74.302,0.000,"0,0,0,0",v
2017-01-01T01:18:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T01:24:00Z,74.3,0.000,"0,0,0,0",v
2017-01-01T01:30:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T01:36:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T01:42:00Z,74.298,0.000,"0,0,0,0",v
2017-01-01T01:48:00Z,74.298,0.000,"0,0,0,0",v
2017-01-01T01:54:00Z,74.299,0.000,"0,0,0,0",v
2017-01-01T02:00:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T02:06:00Z,74.301,0.000,"0,0,0,0",v
2017-01-01T02:12:00Z,74.304,0.000,"0,0,0,0",v
2017-01-01T02:18:00Z,74.308,0.000,"0,0,0,0",v
2017-01-01T02:24:00Z,74.311,0.001,"0,0,0,0",v
2017-01-01T02:30:00Z,74.317,0.001,"0,0,0,0",v
2017-01-01T02:36:00Z,74.323,0.001,"0,0,0,0",v
2017-01-01T02:42:00Z,74.329,0.001,"0,0,0,0",v
2017-01-01T02:48:00Z,74.333,0.001,"0,0,0,0",v
2017-01-01T02:54:00Z,74.339,0.001,"0,0,0,0",v
2017-01-01T03:00:00Z,74.344,0.001,"0,0,0,0",v
2017-01-01T03:06:00Z,74.35,0.000,"0,0,0,0",v
2017-01-01T03:12:00Z,74.355,0.000,"0,0,0,0",v
2017-01-01T03:18:00Z,74.359,0.000,"0,0,0,0",v
2017-01-01T03:24:00Z,74.36,0.000,"0,0,0,0",v
2017-01-01T03:30:00Z,74.366,0.001,"0,0,0,0",v
2017-01-01T03:36:00Z,74.369,0.000,"0,0,0,0",v
2017-01-01T03:42:00Z,74.374,0.001,"0,0,0,0",v
2017-01-01T03:48:00Z,74.376,0.001,"0,0,0,0",v
2017-01-01T03:54:00Z,74.379,0.000,"0,0,0,0",v
2017-01-01T04:00:00Z,74.38,0.000,"0,0,0,0",v
2017-01-01T04:06:00Z,74.382,0.000,"0,0,0,0",v
2017-01-01T04:12:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:18:00Z,74.385,0.000,"0,0,0,0",v
2017-01-01T04:24:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:30:00Z,74.384,0.000,"0,0,0,0",v
2017-01-01T04:36:00Z,74.383,0.000,"0,0,0,0",v
2017-01-01T04:42:00Z,74.378,0.001,"0,0,0,0",v
2017-01-01T04:48:00Z,74.373,0.001,"0,0,0,0",v
2017-01-01T04:54:00Z,74.367,0.001,"0,0,0,0",v
2017-01-01T05:00:00Z,74.359,0.002,"0,0,0,0",v
2017-01-01T05:06:00Z,74.35,0.001,"0,0,0,0",v
2017-01-01T05:12:00Z,74.342,0.001,"0,0,0,0",v
2017-01-01T05:18:00Z,74.336,0.002,"0,0,0,0",v
2017-01-01T05:24:00Z,74.329,0.001,"0,0,0,0",v
2017-01-01T05:30:00Z,74.323,0.000,"0,0,0,0",v
2017-01-01T05:36:00Z,74.318,0.001,"0,0,0,0",v
2017-01-01T05:42:00Z,74.312,0.001,"0,0,0,0",v
2017-01-01T05:48:00Z,74.306,0.001,"0,0,0,0",v
2017-01-01T05:54:00Z,74.301,0.001,"0,0,0,0",v
2017-01-01T06:00:00Z,74.295,0.001,"0,0,0,0",v
2017-01-01T06:06:00Z,74.289,0.001,"0,0,0,0",v
2017-01-01T06:12:00Z,74.285,0.000,"0,0,0,0",v
2017-01-01T06:18:00Z,74.278,0.001,"0,0,0,0",v
2017-01-01T06:24:00Z,74.271,0.000,"0,0,0,0",v
2017-01-01T06:30:00Z,74.266,0.001,"0,0,0,0",v
2017-01-01T06:36:00Z,74.26,0.001,"0,0,0,0",v
2017-01-01T06:42:00Z,74.253,0.001,"0,0,0,0",v
