,Year,Month,wt_lvl__m,month
0,1900, Jan,74.28,1.0
1,1900, Feb,74.32,2.0
2,1900, Mar,74.46,3.0
3,1900, Apr,74.52,4.0
4,1900, May,74.76,5.0
5,1900, Jun,74.75,6.0
6,1900, Jul,74.72,7.0
7,1900, Aug,74.67,8.0
8,1900, Sep,74.58,9.0
9,1900, Oct,74.46,10.0
10,1900, Nov,74.34,11.0
11,1900, Dec ,74.38,12.0
12,1901, Jan,74.37,1.0
13,1901, Feb,74.37,2.0
14,1901, Mar,74.25,3.0
15,1901, Apr,74.41,4.0
16,1901, May,74.76,5.0
17,1901, Jun,74.73,6.0
18,1901, Jul,74.76,7.0
19,1901, Aug,74.67,8.0
20,1901, Sep,74.57,9.0
21,1901, Oct,74.46,10.0
22,1901, Nov,74.29,11.0
23,1901, Dec ,74.2,12.0
24,1902, Jan,74.32,1.0
25,1902, Feb,74.32,2.0
26,1902, Mar,74.28,3.0
27,1902, Apr,74.58,4.0
28,1902, May,74.63,5.0
29,1902, Jun,74.63,6.0
30,1902, Jul,74.67,7.0
31,1902, Aug,74.82,8.0
32,1902, Sep,74.76,9.0
33,1902, Oct,74.63,10.0
34,1902, Nov,74.52,11.0
35,1902, Dec ,74.47,12.0
36,1903, Jan,74.41,1.0
37,1903, Feb,74.37,2.0
38,1903, Mar,74.47,3.0
39,1903, Apr,74.82,4.0
40,1903, May,75.01,5.0
41,1903, Jun,74.93,6.0
42,1903, Jul,74.95,7.0
43,1903, Aug,74.95,8.0
44,1903, Sep,74.84,9.0
45,1903, Oct,74.69,10.0
46,1903, Nov,74.64,11.0
47,1903, Dec ,74.54,12.0
48,1904, Jan,74.43,1.0
49,1904, Feb,74.37,2.0
50,1904, Mar,74.49,3.0
51,1904, Apr,74.79,4.0
52,1904, May,75.11,5.0
53,1904, Jun,75.27,6.0
54,1904, Jul,75.31,7.0
55,1904, Aug,75.28,8.0
56,1904, Sep,75.19,9.0
57,1904, Oct,75.04,10.0
58,1904, Nov,74.95,11.0
59,1904, Dec ,74.73,12.0
