, ID,PARAM,TYPE,YEAR,DD,MONTH,wt_lvl__m,month
0,02OA039,2,9,1915,1,Jan,,1
1,02OA039,2,9,1915,2,Jan,,1
2,02OA039,2,9,1915,3,Jan,,1
3,02OA039,2,9,1915,4,Jan,,1
4,02OA039,2,9,1915,5,Jan,,1
5,02OA039,2,9,1915,6,Jan,,1
6,02OA039,2,9,1915,7,Jan,,1
7,02OA039,2,9,1915,8,Jan,,1
8,02OA039,2,9,1915,9,Jan,,1
9,02OA039,2,9,1915,10,Jan,,1
10,02OA039,2,9,1915,11,Jan,,1
11,02OA039,2,9,1915,12,Jan,,1
12,02OA039,2,9,1915,13,Jan,,1
13,02OA039,2,9,1915,14,Jan,,1
14,02OA039,2,9,1915,15,Jan,,1
15,02OA039,2,9,1915,16,Jan,,1
16,02OA039,2,9,1915,17,Jan,,1
17,02OA039,2,9,1915,18,Jan,,1
18,02OA039,2,9,1915,19,Jan,,1
19,02OA039,2,9,1915,20,Jan,,1
20,02OA039,2,9,1915,21,Jan,,1
21,02OA039,2,9,1915,22,Jan,,1
22,02OA039,2,9,1915,23,Jan,,1
23,02OA039,2,9,1915,24,Jan,,1
24,02OA039,2,9,1915,25,Jan,,1
25,02OA039,2,9,1915,26,Jan,,1
26,02OA039,2,9,1915,27,Jan,,1
27,02OA039,2,9,1915,28,Jan,,1
28,02OA039,2,9,1915,29,Jan,,1
29,02OA039,2,9,1915,30,Jan,,1
30,02OA039,2,9,1915,31,Jan,,1
3348,02OA039,2,9,1915,1,Feb,,2
3349,02OA039,2,9,1915,2,Feb,,2
3350,02OA039,2,9,1915,3,Feb,,2
3351,02OA039,2,9,1915,4,Feb,,2
3352,02OA039,2,9,1915,5,Feb,,2
3353,02OA039,2,9,1915,6,Feb,,2
3354,02OA039,2,9,1915,7,Feb,,2
3355,02OA039,2,9,1915,8,Feb,,2
3356,02OA039,2,9,1915,9,Feb,,2
3357,02OA039,2,9,1915,10,Feb,,2
3358,02OA039,2,9,1915,11,Feb,,2
3359,02OA039,2,9,1915,12,Feb,,2
3360,02OA039,2,9,1915,13,Feb,,2
3361,02OA039,2,9,1915,14,Feb,,2
3362,02OA039,2,9,1915,15,Feb,,2
3363,02OA039,2,9,1915,16,Feb,,2
3364,02OA039,2,9,1915,17,Feb,,2
3365,02OA039,2,9,1915,18,Feb,,2
3366,02OA039,2,9,1915,19,Feb,,2
3367,02OA039,2,9,1915,20,Feb,,2
3368,02OA039,2,9,1915,21,Feb,,2
3369,02OA039,2,9,1915,22,Feb,,2
3370,02OA039,2,9,1915,23,Feb,,2
