t,v,f
2017-01-01T05:00:00Z,74.268,"0,0"
2017-01-02T05:00:00Z,74.18,"0,0"
2017-01-03T05:00:00Z,74.155,"0,0"
2017-01-04T05:00:00Z,74.398,"0,0"
2017-01-05T05:00:00Z,74.437,"0,0"
2017-01-06T05:00:00Z,74.307,"0,0"
2017-01-07T05:00:00Z,74.26,"0,0"
2017-01-08T05:00:00Z,74.279,"0,0"
2017-01-09T05:00:00Z,74.312,"0,0"
2017-01-10T05:00:00Z,74.327,"0,0"
2017-01-11T05:00:00Z,74.445,"0,0"
2017-01-12T05:00:00Z,74.352,"0,0"
2017-01-13T05:00:00Z,74.372,"0,0"
2017-01-14T05:00:00Z,74.306,"0,0"
2017-01-15T05:00:00Z,74.343,"0,0"
2017-01-16T05:00:00Z,74.394,"0,0"
2017-01-17T05:00:00Z,74.292,"0,0"
2017-01-18T05:00:00Z,74.364,"0,0"
2017-01-19T05:00:00Z,74.398,"0,0"
2017-01-20T05:00:00Z,74.361,"0,0"
2017-01-21T05:00:00Z,74.359,"0,0"
2017-01-22T05:00:00Z,74.246,"0,0"
2017-01-23T05:00:00Z,74.194,"0,0"
2017-01-24T05:00:00Z,74.239,"0,0"
2017-01-25T05:00:00Z,74.374,"0,0"
2017-01-26T05:00:00Z,74.409,"0,0"
2017-01-27T05:00:00Z,74.541,"0,0"
2017-01-28T05:00:00Z,74.53,"0,0"
2017-01-29T05:00:00Z,74.539,"0,0"
2017-01-30T05:00:00Z,74.469,"0,0"
2017-01-31T05:00:00Z,74.41,"0,0"
2017-02-01T05:00:00Z,74.462,"0,0"
2017-02-02T05:00:00Z,74.513,"0,0"
2017-02-03T05:00:00Z,74.54,"0,0"
2017-02-04T05:00:00Z,74.545,"0,0"
2017-02-05T05:00:00Z,74.548,"0,0"
2017-02-06T05:00:00Z,74.439,"0,0"
2017-02-07T05:00:00Z,74.303,"0,0"
2017-02-08T05:00:00Z,74.548,"0,0"
2017-02-09T05:00:00Z,74.456,"0,0"
2017-02-10T05:00:00Z,74.474,"0,0"
2017-02-11T05:00:00Z,74.47,"0,0"
2017-02-12T05:00:00Z,74.453,"0,0"
2017-02-13T05:00:00Z,74.515,"1,0"
2017-02-14T05:00:00Z,74.515,"0,0"
2017-02-15T05:00:00Z,74.533,"0,0"
2017-02-16T05:00:00Z,74.542,"0,0"
2017-02-17T05:00:00Z,74.517,"0,0"
2017-02-18T05:00:00Z,74.547,"0,0"
2017-02-19T05:00:00Z,74.551,"0,0"
2017-02-20T05:00:00Z,74.501,"0,0"
2017-02-21T05:00:00Z,74.509,"0,0"
2017-02-22T05:00:00Z,74.517,"0,0"
2017-02-23T05:00:00Z,74.546,"0,0"
2017-02-24T05:00:00Z,74.481,"0,0"
2017-02-25T05:00:00Z,74.552,"0,0"
2017-02-26T05:00:00Z,74.669,"0,0"
2017-02-27T05:00:00Z,74.655,"0,0"
2017-02-28T05:00:00Z,74.564,"0,0"
2017-03-01T05:00:00Z,74.647,"0,0"
2017-03-02T05:00:00Z,74.738,"0,0"
2017-03-03T05:00:00Z,74.627,"0,0"
2017-03-04T05:00:00Z,74.593,"0,0"
2017-03-05T05:00:00Z,74.569,"0,0"
2017-03-06T05:00:00Z,74.566,"0,0"
2017-03-07T05:00:00Z,74.652,"0,0"
2017-03-08T05:00:00Z,74.757,"0,0"
2017-03-09T05:00:00Z,74.768,"0,0"
2017-03-10T05:00:00Z,74.684,"0,0"
2017-03-11T05:00:00Z,74.634,"0,0"
2017-03-12T05:00:00Z,74.664,"0,0"
2017-03-13T04:00:00Z,74.651,"0,0"
