Sim	QM	forNTS	indicator	confidence
49	1	7055.702956434412	0	2
50	2	7038.044110302685	0	2
51	3	7015.694664951535	0	2
52	4	7016.786592433915	0	2
53	5	7020.984569341104	0	2
54	6	7035.9547211717145	0	2
55	7	7045.078818476108	0	2
56	8	7023.859592975769	0	2
57	9	7000.339777560799	0	2
58	10	6963.904884437348	0	2
59	11	6955.869341098799	0	2
60	12	6942.32022175388	0	2
61	13	6906.457739393898	0	1
62	14	6901.941284420698	0	1
63	15	6877.577649578311	0	1
64	16	6855.571459339522	-1	1
65	17	6825.621400980642	-1	1
66	18	6808.064230906297	-1	2
67	19	6818.647064735868	-1	1
68	20	6830.00042713539	-1	1
69	21	6839.686650230561	-1	1
70	22	6839.096923237215	-1	1
71	23	6816.813745903254	-1	1
72	24	6795.889087762773	-1	2
73	25	6785.713879379536	-1	2
74	26	6774.225261065938	-1	2
75	27	6767.512586691853	-1	2
76	28	6759.675550158777	-1	2
77	29	6746.68982614197	-1	2
78	30	6738.516592344874	-1	2
79	31	6739.546238913925	-1	2
80	32	6739.047023302617	-1	2
81	33	6726.218922027846	-1	2
82	34	6717.7088874674555	-1	2
83	35	6709.898152204165	-1	2
84	36	6710.101272138813	-1	2
85	37	6704.913217938173	-1	2
86	38	6695.173958086928	-1	2
87	39	6692.953391653109	-1	2
88	40	6687.776267846747	-1	2
89	41	6691.264335198144	-1	2
90	42	6677.120370368274	-1	2
91	43	6666.583723902299	-1	3
92	44	6670.279267434877	-1	2
93	45	6663.044090075335	-1	3
94	46	6646.527421522032	-1	3
95	47	6663.012762905652	-1	3
96	48	6657.10665800143	-1	3
97	1	6645.053691263882	-1	3
98	2	6629.964801522143	-1	3
99	3	6623.21634857891	-1	3
100	4	6598.210110331768	-1	3
101	5	6584.970855829385	-1	3
102	6	6543.809084213393	-1	3
103	7	6523.525165256442	-1	3
104	8	6505.256815151581	-1	3
105	9	6498.668169914097	-1	3
106	10	6486.922813594086	-1	3
107	11	6464.739399592473	-1	3
108	12	6445.825800173561	-1	3
109	13	6462.950260474134	-1	3
110	14	6428.003036397743	-1	3
111	15	6392.9088237688775	-1	3
112	16	6371.23065740198	-1	3
113	17	6368.827432328456	-1	3
114	18	6378.008884933346	-1	3
115	19	6358.845034852468	-1	3
116	20	6360.373800356216	-1	3
117	21	6350.673483353733	-1	3
118	22	6344.761518687107	-1	3
119	23	6335.78625870373	-1	3
120	24	6326.2480930539095	-1	3
