Sim	QM	forNTS	indicator	confidence
49	1	7277.795197167463	1	1
50	2	7273.999615020469	1	1
51	3	7264.948112234783	1	1
52	4	7286.810686415869	1	1
53	5	7316.0155744566855	1	2
54	6	7349.400401600006	1	2
55	7	7379.65007891136	1	2
56	8	7376.598386118424	1	2
57	9	7372.322241511175	1	2
58	10	7356.207020624468	1	2
59	11	7371.445749912208	1	2
60	12	7378.69836136975	1	2
61	13	7363.540543335416	1	2
62	14	7384.000233518665	1	2
63	15	7380.284533090298	1	2
64	16	7374.407538488211	1	2
65	17	7355.768439191844	1	2
66	18	7350.550120783893	1	2
67	19	7375.359452364765	1	2
68	20	7405.043362828528	1	2
69	21	7434.91112995587	1	3
70	22	7456.971757433801	1	3
71	23	7456.7911501273975	1	3
72	24	7456.475083608156	1	3
73	25	7466.165630471094	1	3
74	26	7473.535885348257	1	3
75	27	7485.3529957715	1	3
76	28	7490.943520203471	1	3
77	29	7490.642992018219	1	3
78	30	7495.991754620178	1	3
79	31	7510.964098536521	1	3
80	32	7523.375457860461	1	3
81	33	7522.115143401618	1	3
82	34	7523.630512390704	1	3
83	35	7524.965747827466	1	3
84	36	7536.694206949182	1	3
85	37	7540.997017693535	1	3
86	38	7539.198039008494	1	3
87	39	7544.969223244771	1	3
88	40	7540.877090516636	1	3
89	41	7543.605266478369	1	3
90	42	7523.720530904552	1	3
91	43	7507.631153265083	1	3
92	44	7508.186680579329	1	3
93	45	7501.804745224633	1	3
94	46	7486.886028807351	1	3
95	47	7503.396655157375	1	3
96	48	7497.77938184205	1	3
97	1	7480.362352225828	1	3
98	2	7457.227615129003	1	3
99	3	7444.912812329392	1	3
100	4	7409.61449329546	1	2
101	5	7383.45651390628	1	2
102	6	7335.583652504719	1	2
103	7	7305.223992577563	1	2
104	8	7276.155591830728	1	1
105	9	7257.427463808245	1	1
106	10	7237.936878544145	1	1
107	11	7203.090218263456	0	1
108	12	7165.863582812576	0	2
109	13	7171.800640366642	0	2
110	14	7123.9492551993935	0	2
111	15	7078.206780585878	0	2
112	16	7048.503113105702	0	2
113	17	7047.5664812770865	0	2
114	18	7055.273188194767	0	2
115	19	7032.83559119926	0	2
116	20	7026.641972437026	0	2
117	21	7011.418650391066	0	2
118	22	6999.785670738609	0	2
119	23	6988.715665361013	0	2
120	24	6981.044616193172	0	2
121	25	6965.924820357155	0	2
122	26	6957.951803515242	0	2
123	27	6938.537757676384	0	2
124	28	6931.6811421710645	0	2
125	29	6929.286937463517	0	2
126	30	6931.356783226679	0	2
127	31	6928.190139268848	0	2
128	32	6913.864314240627	0	2
129	33	6913.18407821188	0	2
130	34	6922.720676861434	0	2
131	35	6913.1995383852245	0	2
132	36	6911.174151251444	0	2
133	37	6908.421761111087	0	1
134	38	6894.731345153756	0	1
135	39	6887.627094817842	0	1
136	40	6889.685892175985	0	1
137	41	6886.481504042651	0	1
138	42	6889.267958484966	0	1
139	43	6889.051248586733	0	1
140	44	6884.685577070974	0	1
141	45	6884.391400783771	0	1
142	46	6880.396355047699	0	1
143	47	6865.043386149813	0	1
144	48	6856.718879062148	-1	1
145	1	6853.58657252008	-1	1
146	2	6853.726141537371	-1	1
147	3	6835.465048922232	-1	1
148	4	6823.276193678189	-1	1
149	5	6825.4350373440075	-1	1
150	6	6834.021421647577	-1	1
151	7	6829.006692961044	-1	1
152	8	6878.150716281766	0	1
153	9	6910.091797020933	0	2
154	10	6928.1128976384725	0	2
155	11	6929.827589973899	0	2
156	12	6938.460556918584	0	2
157	13	6946.287164097566	0	2
158	14	6980.690258584123	0	2
159	15	7020.9076913207755	0	2
160	16	7070.754340179681	0	2
161	17	7093.593553721116	0	2
162	18	7119.375113327256	0	2
163	19	7127.3141794859275	0	2
164	20	7111.386988339613	0	2
165	21	7106.610957208579	0	2
166	22	7127.390648489434	0	2
167	23	7147.216896619581	0	2
168	24	7165.512493947791	0	2
169	25	7175.905195587973	0	2
170	26	7178.330916657803	0	2
171	27	7189.204949359536	0	1
172	28	7186.1095708082885	0	2
173	29	7194.296809940297	0	1
174	30	7190.150241687279	0	1
175	31	7187.710687703437	0	1
176	32	7192.711457480805	0	1
177	33	7208.970685429002	0	1
178	34	7204.156750574023	0	1
179	35	7211.37722535875	0	1
180	36	7215.473780671799	0	1
181	37	7222.461910046649	0	1
182	38	7243.168626969297	1	1
183	39	7288.419095091385	1	2
184	40	7312.13610552133	1	2
185	41	7340.366834872638	1	2
186	42	7367.032506451969	1	2
187	43	7386.718618638748	1	2
188	44	7414.9537555334055	1	2
189	45	7448.330969148554	1	3
190	46	7473.23510908962	1	3
191	47	7496.833009790952	1	3
192	48	7525.415808253117	1	3
193	1	7573.1580833914495	1	3
194	2	7621.182162532879	1	3
195	3	7661.676902583276	1	3
196	4	7689.266480744366	1	3
197	5	7689.981078319772	1	3
198	6	7691.216681062509	1	3
199	7	7710.709052194184	1	3
200	8	7688.626300415811	1	3
201	9	7699.596081021714	1	3
202	10	7722.470414227346	1	3
203	11	7764.156506096589	1	3
204	12	7802.979196678371	1	3
205	13	7808.295483298275	1	3
206	14	7806.740713379984	1	3
207	15	7802.994007060023	1	3
208	16	7789.675445898904	1	3
209	17	7781.286090032183	1	3
210	18	7766.975280151209	1	3
211	19	7757.746152805799	1	3
212	20	7756.336216674855	1	3
213	21	7766.203862262915	1	3
214	22	7750.636179819306	1	3
215	23	7743.583295363364	1	3
216	24	7739.3356175787485	1	3
217	25	7733.571711651364	1	3
218	26	7733.972857508912	1	3
219	27	7731.001231559824	1	3
220	28	7738.280996044818	1	3
221	29	7733.467709668889	1	3
222	30	7733.987714621181	1	3
223	31	7744.385211710019	1	3
224	32	7746.152293790156	1	3
225	33	7733.527139433895	1	3
226	34	7720.270288746867	1	3
227	35	7719.645888308959	1	3
228	36	7708.686230234389	1	3
229	37	7704.342476340226	1	3
230	38	7708.463113345324	1	3
231	39	7699.506797187707	1	3
232	40	7701.158488686948	1	3
233	41	7705.800408361924	1	3
234	42	7696.128622338971	1	3
235	43	7696.113739348119	1	3
236	44	7681.136274679266	1	3
237	45	7663.67430610794	1	3
238	46	7663.67430610794	1	3
239	47	7645.884948255431	1	3
240	48	7617.6274033353675	1	3
241	1	7570.733089781081	1	3
242	2	7525.13077109194	1	3
243	3	7500.918630248471	1	3
244	4	7478.513109209611	1	3
245	5	7466.285981877811	1	3
246	6	7462.314022076669	1	3
247	7	7463.472587787146	1	3
248	8	7447.276971315132	1	3
249	9	7421.512846868866	1	2
250	10	7425.0704822355065	1	2
251	11	7405.375293776984	1	2
252	12	7366.669732418369	1	2
253	13	7333.888081871312	1	2
254	14	7328.088784860168	1	2
255	15	7318.500475876821	1	2
256	16	7310.423451466823	1	2
257	17	7325.923094785161	1	2
258	18	7339.473856284765	1	2
259	19	7379.302631520712	1	2
260	20	7411.605564123145	1	2
261	21	7439.249794669897	1	3
262	22	7460.056892685746	1	3
263	23	7471.716123393564	1	3
264	24	7474.8442121239295	1	3
265	25	7488.29872539289	1	3
266	26	7501.789726635971	1	3
267	27	7526.420908740693	1	3
268	28	7540.697198483024	1	3
269	29	7551.098455141482	1	3
270	30	7560.296485085363	1	3
271	31	7562.992223636125	1	3
272	32	7582.032409947513	1	3
273	33	7608.424116698283	1	3
274	34	7640.633314294064	1	3
275	35	7644.288706251713	1	3
276	36	7660.096736129212	1	3
277	37	7665.582101258924	1	3
278	38	7662.347693016681	1	3
279	39	7637.6040910642	1	3
280	40	7620.734116035538	1	3
281	41	7599.261730299021	1	3
282	42	7589.87107737409	1	3
283	43	7575.7773658746455	1	3
284	44	7564.684374289902	1	3
285	45	7559.158182012294	1	3
286	46	7553.870266582906	1	3
287	47	7553.4957185499825	1	3
288	48	7569.954638367833	1	3
289	1	7585.293883906545	1	3
290	2	7591.561100661308	1	3
291	3	7591.411546460156	1	3
292	4	7624.079304402362	1	3
293	5	7637.962248037531	1	3
294	6	7638.723311830533	1	3
295	7	7643.6621116630295	1	3
296	8	7651.224786884989	1	3
297	9	7671.855771505739	1	3
298	10	7647.615320101282	1	3
299	11	7641.036183812027	1	3
300	12	7644.825772830316	1	3
301	13	7641.125709348565	1	3
302	14	7646.9440716471245	1	3
303	15	7642.6625063941565	1	3
304	16	7630.379986814095	1	3
305	17	7611.651692434647	1	3
306	18	7582.885228693226	1	3
307	19	7550.274333507854	1	3
308	20	7538.283499812782	1	3
309	21	7512.255098546441	1	3
310	22	7498.019723553767	1	3
311	23	7492.611373920648	1	3
312	24	7491.108808882754	1	3
313	25	7514.251490157196	1	3
314	26	7522.010113816427	1	3
315	27	7512.390198650571	1	3
316	28	7505.649153243348	1	3
317	29	7511.159254749388	1	3
318	30	7506.114639620964	1	3
319	31	7493.64808149231	1	3
320	32	7469.565292957696	1	3
321	33	7442.217045046873	1	3
322	34	7428.341164400043	1	3
323	35	7435.076859334587	1	3
324	36	7442.71405611047	1	3
325	37	7442.292350510126	1	3
326	38	7429.335832800002	1	3
327	39	7426.969650199794	1	3
328	40	7437.622900590712	1	3
329	41	7440.394570424228	1	3
330	42	7444.95798983686	1	3
331	43	7461.892709638609	1	3
332	44	7473.189992280546	1	3
333	45	7483.819851378535	1	3
334	46	7486.810882724091	1	3
335	47	7486.329941456721	1	3
336	48	7504.808248672155	1	3
337	1	7529.795897931178	1	3
338	2	7544.459623257604	1	3
339	3	7549.240390339918	1	3
340	4	7527.21595451069	1	3
341	5	7538.853217375196	1	3
342	6	7542.645947793184	1	3
343	7	7517.463334532769	1	3
344	8	7497.689252995739	1	3
345	9	7495.5260453955225	1	3
346	10	7498.139893385076	1	3
347	11	7496.652743644289	1	3
348	12	7494.068759911676	1	3
349	13	7493.467788177273	1	3
350	14	7475.896829882831	1	3
351	15	7465.87979312264	1	3
352	16	7466.316069621991	1	3
353	17	7463.743412132011	1	3
354	18	7478.979193871754	1	3
355	19	7482.67743607721	1	3
356	20	7472.302675403313	1	3
357	21	7463.322128311816	1	3
358	22	7467.850487563679	1	3
359	23	7474.573530489043	1	3
360	24	7477.265154394693	1	3
361	25	7465.714306568043	1	3
362	26	7460.734056930602	1	3
363	27	7463.156621646473	1	3
364	28	7461.441294092971	1	3
365	29	7453.976485772427	1	3
366	30	7456.27942100086	1	3
367	31	7456.159012337454	1	3
368	32	7466.15058649687	1	3
369	33	7478.3477218532225	1	3
370	34	7480.106775448909	1	3
371	35	7472.167318696559	1	3
372	36	7467.8053592202305	1	3
373	37	7477.35537047255	1	3
374	38	7477.189974034932	1	3
375	39	7481.7303870272135	1	3
376	40	7476.528375308749	1	3
377	41	7476.648667530529	1	3
378	42	7467.323984205208	1	3
379	43	7466.210762329239	1	3
380	44	7461.155392571085	1	3
381	45	7457.107211895545	1	3
382	46	7447.969604421966	1	3
383	47	7435.860289572431	1	3
384	48	7399.007334101871	1	2
385	1	7358.8534359288515	1	2
386	2	7345.723897657812	1	2
387	3	7351.427495149622	1	2
388	4	7379.786035006721	1	2
389	5	7377.006311570315	1	2
390	6	7380.057944532678	1	2
391	7	7414.6521386464765	1	2
392	8	7436.854601182579	1	3
393	9	7424.889600111566	1	2
394	10	7443.075511309202	1	3
395	11	7454.232379924196	1	3
396	12	7464.420457747561	1	3
397	13	7479.896298130758	1	3
398	14	7512.840526108142	1	3
399	15	7530.455833100021	1	3
400	16	7533.3353102241545	1	3
401	17	7553.435790253474	1	3
402	18	7548.446168005394	1	3
403	19	7547.382163337952	1	3
404	20	7557.510530412916	1	3
