Sim	QM	forNTS	indicator	confidence
49	1	6839.7332068567475	-1	1
50	2	6826.320248546848	-1	1
51	3	6807.753339991819	-1	2
52	4	6817.171101428197	-1	1
53	5	6829.534620626094	-1	1
54	6	6850.469268429935	-1	1
55	7	6864.857402760783	0	1
56	8	6846.68440222066	-1	1
57	9	6830.26437915632	-1	1
58	10	6806.229901719992	-1	2
59	11	6816.534071727615	-1	1
60	12	6821.256912014394	-1	1
61	13	6801.301216712586	-1	2
62	14	6815.726101248447	-1	1
63	15	6812.695909352042	-1	1
64	16	6807.193723656848	-1	2
65	17	6789.510766901674	-1	2
66	18	6785.63606643027	-1	2
67	19	6807.908786078426	-1	2
68	20	6831.894590887311	-1	1
69	21	6855.804049921724	-1	1
70	22	6871.133355091259	0	1
71	23	6868.313302209794	0	1
72	24	6866.934115855433	0	1
73	25	6873.36431488749	0	1
74	26	6878.677303188534	0	1
75	27	6890.227644690442	0	1
76	28	6899.37324336781	0	1
77	29	6904.447118291287	0	1
78	30	6912.967634497443	0	2
79	31	6928.3291734339	0	2
80	32	6940.699255237456	0	2
81	33	6943.308173601008	0	2
82	34	6948.540399962117	0	2
83	35	6954.419199647646	0	2
84	36	6968.252885754858	0	2
85	37	6977.901395580903	0	2
86	38	6979.8582634726245	0	2
87	39	6988.962075250267	0	2
88	40	6989.562686447955	0	2
89	41	6997.969322636014	0	2
90	42	6980.104784209239	0	2
91	43	6974.356966094359	0	2
92	44	6987.991818491416	0	2
93	45	6993.027393740012	0	2
94	46	6988.238237432227	0	2
95	47	7016.033015122513	0	2
96	48	7002.002004709828	0	2
97	1	6976.406648847001	0	2
98	2	6957.134270554519	0	2
99	3	6951.703752767282	0	2
100	4	6925.579202832449	0	2
101	5	6912.287367176314	0	2
102	6	6877.143966221548	0	1
103	7	6859.928191568965	0	1
104	8	6843.612530914062	-1	1
105	9	6835.791014309661	-1	1
106	10	6824.0838470029685	-1	1
107	11	6795.764653034508	-1	2
108	12	6764.926564826041	-1	2
109	13	6775.642252618811	-1	2
110	14	6735.068430081494	-1	2
111	15	6692.3903896331885	-1	2
112	16	6665.471786864756	-1	3
113	17	6667.867851032678	-1	3
114	18	6680.093987643234	-1	2
115	19	6665.017596476256	-1	3
116	20	6668.854376936886	-1	3
117	21	6663.764600561891	-1	3
118	22	6661.477667594237	-1	3
119	23	6658.375765614343	-1	3
120	24	6657.733388533111	-1	3
121	25	6651.167347281844	-1	3
122	26	6650.242588838237	-1	3
123	27	6640.004502281127	-1	3
124	28	6637.291176901774	-1	3
125	29	6636.851988988936	-1	3
126	30	6640.9454481476505	-1	3
127	31	6641.102267861809	-1	3
128	32	6631.894724841	-1	3
