Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1	2022	1	1																
2	2022	1	2																
3	2022	1	3																
4	2022	1	4																
5	2022	2	5																
6	2022	2	6									909.277545696	782.8362994692673	731.4111834424114	937.3325270149033				
7	2022	2	7									1068.2331342960001	932.0539154917872	1085.3379812679234	1059.8837412304356				
8	2022	2	8									937.0607082959998	1088.857910238587	1062.480240395495	1296.472920824982				
9	2022	3	9									1341.451403296	1240.0612166375872	1427.466716548107	1819.2522706329632				
10	2022	3	10									1527.9117082960001	1629.8344446385872	1968.5301797615748	2453.0485743696527				
11	2022	3	11									2017.996499496	2241.420014758427	2654.34758768154	2731.443531712165				
12	2022	3	12									2272.678253896	2676.3230889285073	2747.6539072950436	2858.643787396828				
13	2022	4	13									3215.7546288959998	3126.890831903507	3138.3904431709384	3004.6784326291645				
14	2022	4	14									3319.8442630960003	3274.042625915947	3104.743173188259	3015.552481973662				
15	2022	4	15									3393.121236696	3188.4590903954672	3077.306088635138	2876.1210529150317				
16	2022	4	16									3263.887232696	3130.334387122667	2915.2377322272932	2648.3547402717804				
17	2022	5	17									2666.813491696	2589.368319986467	2407.9749871990443	2163.0883139939656				
18	2022	5	18									2000.890646496	1994.2571257838272	1857.9065643939923	1673.255256641414				
19	2022	5	19									1385.743866496	1430.1030713878272	1357.6831466193853	1220.3978420502867				
20	2022	5	20									912.878246496	994.0582241038272	952.1674841154165	874.5636842764665				
21	2022	6	21									738.044930496	772.1822831526272	741.7963960959845	688.9350763672778				
22	2022	6	22					6366.8866525004005	6331.4781519726275	6376.346405831766	6383.738598278701	649.7270744960001	655.7066269734273	625.4303819516031	581.6095926773031				
23	2022	6	23					6340.0	6337.6616960304	6390.0701713503995	6379.710062512492	655.943580896	625.5969678299072	581.7324758654391	526.6372515513242				
24	2022	6	24					6359.0	6390.0701713503995	6391.8472898104	6356.075622794508	761.9533508960001	677.5951971439073	597.3510295378538	545.6727286574871				
25	2022	7	25					6293.0	6391.8472898104	6300.8621093304	6308.384983084556	651.5896978960001	579.0683656093072	532.1863992397141	513.0468747472437				
26	2022	7	26					6279.0	6300.8621093304	6244.1974446404	6254.831755437532	726.150389896	635.5895754037072	589.3229197504122	557.2154353855551				
27	2022	7	27	461.2481050895999	362.5220116851241	239.00402048523722	215.93484125735552	6211.0	6244.1974446404	6203.7181876504	6188.20942156186	703.178606896	636.8400828031072	592.2667887567713	553.1273825817419	6672.2481050896	6606.719456325524	6442.722208135638	6404.144262819215
28	2022	7	28	407.49126100959984	274.4928841247562	241.3138438039424	200.1181888279915	6173.0	6203.7181876504	6147.7123150504	6176.930611675947	700.9318162959999	637.3252440041872	586.3650536835888	570.6269451202782	6580.4912610096	6478.211071775157	6389.026158854343	6377.048800503939
29	2022	8	29	245.78373164959999	218.65713477050008	183.91579130696448	126.16320406474244	6116.0	6147.7123150504	6127.0365065404	6124.384442691068	629.5706410960001	580.9133298955472	566.6054445781479	554.9969777056492	6361.7837316496	6366.369449820901	6310.952297847365	6250.547646755811
30	2022	8	30	116.24617572959994	103.09503901086805	68.36619768058688	-15.111068967590882	6048.0	6127.0365065404	6067.6680778904	6077.5977504905795	570.8676992960001	559.5430580247873	549.7873609940739	536.3101804727471	6164.2461757296	6230.131545551269	6136.034275570987	6062.486681522989
31	2022	8	31	-55.06359599040002	-56.449544527444004	-104.37002838449212	-102.33967577052294	5932.0	6067.6680778904	5966.6609855704	5987.631134284459	508.434121496	513.8562103788272	509.8053267243713	520.376707715226	5876.9364040096	6011.218533362956	5862.290957185908	5885.291458513936
32	2022	8	32	-62.589161870400176	-109.21529589409238	-105.80465164898715	-103.40670908276525	5922.0	5966.6609855704	5904.7751315804	5942.2005644528435	417.977306096	442.3995150485471	470.6543595669822	520.3369344733151	5859.4108381296	5857.445689676308	5798.970479931413	5838.793855370079
