Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1	2022	1	1																
2	2022	1	2																
3	2022	1	3																
4	2022	1	4																
5	2022	2	5																
6	2022	2	6									1012.227525696	883.7485521052672	829.1542740489865	1024.9760993551297				
7	2022	2	7									1177.002614296	1035.320878027787	1177.0562747096785	1135.014649262505				
8	2022	2	8									1145.580008296	1254.5718264985871	1192.194514872427	1397.6676733601703				
9	2022	3	9									1821.0028632960002	1590.4129142095874	1691.4161410161173	2024.676423961465				
10	2022	3	10									2060.974828296	2022.2356054225872	2268.7076161462437	2702.1263872207965				
11	2022	3	11									2562.277859496	2648.3738915104273	2982.1897564536266	3008.827527269054				
12	2022	3	12									2541.344053896	2906.944496488507	2953.3223576186356	3047.5679672796664				
13	2022	4	13									2989.124788896	3011.0976248155075	3090.186279833137	2991.7948544869046				
14	2022	4	14									2964.9746830960003	3057.7604365599473	2967.8757141613796	2904.611645424576				
15	2022	4	15									3248.786416696	3102.172839671467	3003.676818944561	2795.830642691094				
16	2022	4	16									3354.136272696	3180.814843650667	2926.497692248903	2640.463802069227				
17	2022	5	17									2986.219731696	2789.6913575544672	2539.547693599582	2261.235321780461				
18	2022	5	18									2470.871186496	2315.407330611827	2095.896682789662	1867.8160658629993				
19	2022	5	19									1862.318766496	1777.3615195678274	1632.8464706692614	1455.218925539377				
20	2022	5	20									1345.589366496	1329.2973984878272	1231.3039207076054	1114.4175733175393				
21	2022	6	21									1057.9073104959998	1040.508361468627	973.6759519979356	890.4132790424372				
22	2022	6	22					6245.8762515004	6206.0408568838275	6251.303273691557	6264.315837876023	879.103634496	860.2034763654273	806.7095478897376	737.7776737611787				
23	2022	6	23					6226.0	6216.6512950304	6268.6203923504	6258.683070423692	834.935700896	788.9455264139071	724.6739244200679	646.9422607039073				
24	2022	6	24					6250.0	6268.6203923504	6277.6518138104	6242.4957864993075	954.827550896	841.2940775839073	732.9678972558619	656.2379153991658				
25	2022	7	25					6217.0	6277.6518138104	6213.1341073304	6212.647047335756	801.506597896	704.9960781893072	635.6043158416701	600.2265714150901				
26	2022	7	26					6222.0	6213.1341073304	6180.9922956404	6181.384037899932	854.754849896	740.8893275757071	677.8907650221424	631.9604860862064				
27	2022	7	27	315.5077438096	174.92953382163603	22.135371592121714	-9.366225879750118	6168.0	6180.9922956404	6155.711757650401	6126.74408681066	794.9305668960001	715.8834144751072	659.9860182504017	611.1351867135471	6483.5077438096	6355.921829462036	6177.847129242522	6117.377860930909
28	2022	7	28	287.1687586096	110.71240152571625	53.97749487411829	-3.519259627291376	6154.0	6155.711757650401	6111.3908690503995	6127.0858402919475	799.290896296	718.6240372601874	654.3899139164483	626.8339357871364	6441.1687586095995	6266.4241591761165	6165.368363924517	6123.566580664656
29	2022	8	29	152.87170868960004	87.24880639368428	20.273914151399936	-60.987606861467384	6121.0	6111.3908690503995	6107.3417925404	6088.740091206268	707.953081096	646.8879043035471	621.3000281831733	601.2049821822252	6273.8717086896	6198.639675444084	6127.6157066918	6027.7524843448
30	2022	8	30	80.66529344960009	15.078332800780231	-64.70310121112425	-194.54711482500716	6080.0	6107.3417925404	6070.884964890401	6059.8401331673795	661.688039296	631.7049772127873	608.8802624770956	584.9041659675474	6160.6652934496	6122.42012534118	6006.181863679276	5865.293018342372
31	2022	8	31	-99.61601547040004	-155.2176672126518	-259.2764176392552	-282.4960865743351	5977.0	6070.884964890401	5985.7017215704	5994.74157761006	574.6746214960001	568.7861724788272	555.3284921195914	559.4351825562161	5877.3839845296	5915.667297677749	5726.425303931144	5712.245491035725
32	2022	8	32	-90.37970627039977	-208.10755026633183	-245.90390857297166	-266.71782580547574	5995.0	5985.7017215704	5951.5782095804	5971.142782089643	474.43486609599995	488.996628640547	510.5050394835565	554.2479365269921	5904.6202937296	5777.594171304068	5705.674301007428	5704.424956284168
