Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1	2022	1	1																
2	2022	1	2																
3	2022	1	3																
4	2022	1	4																
5	2022	2	5																
6	2022	2	6									971.8937456960001	874.3422043092673	833.9199869444994	1034.7969015453602				
7	2022	2	7									989.036854296	914.5538451957871	1094.277006788936	1072.221375998625				
8	2022	2	8									1095.107448296	1221.2117299065874	1165.8556241152528	1366.1022461168845				
9	2022	3	9									1702.969443296	1504.5460789655872	1615.9395270852763	1962.4735940362984				
10	2022	3	10									1892.658008296	1888.7941222985874	2163.746612485987	2617.573732650543				
11	2022	3	11									2375.2830394959997	2505.763248786427	2869.86459362865	2915.263039238631				
12	2022	3	12									2285.862913896	2715.2679107405074	2801.223761348222	2923.5915436991563				
13	2022	4	13									2692.8137288959997	2785.437782523507	2911.946910759222	2844.4449939324045				
14	2022	4	14									2731.771103096	2874.217588403947	2816.6137067643403	2773.654450572437				
15	2022	4	15									3068.893116696	2953.4765766114674	2874.61226257587	2684.2497612686				
16	2022	4	16									3069.039972696	2955.856875990667	2744.1803941464905	2493.9805802531564				
17	2022	5	17									2770.895571696	2614.1469218424672	2398.060519058424	2140.0340800737285				
18	2022	5	18									2329.467986496	2197.922492371827	1992.4009251096938	1776.636523424867				
19	2022	5	19									1804.221586496	1715.6171078918273	1572.4650880641582	1400.9775421883649				
20	2022	5	20									1291.743126496	1274.4686729198274	1181.158491985468	1073.202062870631				
21	2022	6	21									1005.549690496	992.1001957846274	933.7419452590872	858.4489768224546				
22	2022	6	22					5857.7157335004	5816.948411245427	5866.266061915834	5885.643991024766	813.6419544960002	808.2803257894273	765.9013734716543	705.1146440263973				
23	2022	6	23					5897.0	5828.4907770304	5913.1784493504	5886.818541785292	751.289980896	725.8354123099072	675.5597196029752	607.1426572738211				
24	2022	6	24					5916.0	5913.1784493504	5936.5937878104005	5894.847691320908	786.3576508960001	718.1087104039074	638.529205130186	581.5811436312658				
25	2022	7	25					5864.0	5936.5937878104005	5866.8749893304	5877.098800146956	593.6455978960001	551.0278179893073	517.0351597360302	502.7597085768535				
26	2022	7	26					5835.0	5866.8749893304	5819.3122536404	5835.185734581532	598.2183098959999	550.2115235477072	527.2324754010331	507.32446841197446				
27	2022	7	27	207.3435768096001	177.79966188343622	118.47171975715207	136.04508902759017	5758.0	5819.3122536404	5773.2576406504	5764.968144921059	555.231186896	530.7614527591072	509.92764218057044	483.785567708194	5965.343576809601	5997.111915523836	5891.729360407552	5901.01323394865
28	2022	7	28	209.90940032959986	143.812105606028	154.16665311943018	163.30313279539996	5730.0	5773.2576406504	5714.1673350504	5749.569939542347	547.0565362960001	521.3835859081873	492.2361212766418	490.86452972593315	5939.9094003295995	5917.0697462564285	5868.33398816983	5912.873072337747
29	2022	8	29	92.12370420960008	113.37516434747624	134.13208612740573	119.43148919469559	5710.0	5714.1673350504	5713.5889935404	5702.675259067068	518.729901096	490.3704994275472	489.4883412818301	487.4975085460974	5802.1237042096	5827.542499397876	5847.721079667806	5822.106748261764
30	2022	8	30	53.04225432960004	86.5185179944283	85.38179746116487	17.697384011995155	5672.0	5713.5889935404	5678.6904788904	5677.475311096179	478.45019929599994	481.10800452478725	481.315697045374	477.7854561543859	5725.0422543296	5800.1075115348285	5764.072276351565	5695.172695108175
31	2022	8	31	-47.813335910400156	-20.63030897347585	-58.11461004063449	-35.343771574982384	5631.0	5678.6904788904	5630.498691570399	5626.56093897326	478.98074149600006	479.82016586282725	476.6822675675801	489.87285604729425	5583.1866640896	5658.060169916925	5572.384081529764	5591.2171673982775
32	2022	8	32	-45.39809975039998	-77.66087249193993	-49.321808447809644	-17.88965748097735	5673.0	5630.498691570399	5623.3241945804	5629.833827625644	432.9540860960001	443.73397544454724	465.5683278307896	514.2618393787664	5627.6019002496	5552.83781907846	5574.002386132591	5611.944170144667
