Sim	Year	Month	QM	ontNTS	ontNBS	erieOut	stlouisontOut	iceInd
1	2022	1	1	7651	1682	5969	489	2
2	2022	1	2	7879	1878	6001	642	2
3	2022	1	3	7671	1572	6099	790	2
4	2022	1	4	7170	1204	5966	951	2
5	2022	2	5	7487	1573	5914	1053	2
6	2022	2	6	6861	982	5879	1238	1
7	2022	2	7	8760	2910	5850	1074	1
8	2022	2	8	8379	2259	6120	1228	1
9	2022	3	9	9762	3508	6254	1673	1
10	2022	3	10	9088	2811	6277	1975	0
11	2022	3	11	9716	3218	6498	2054	0
12	2022	3	12	10352	3805	6547	2894	0
13	2022	4	13	9415	2917	6498	3438	0
14	2022	4	14	10256	3625	6631	3457	0
15	2022	4	15	9430	2617	6813	3480	0
16	2022	4	16	9192	2440	6752	2730	0
17	2022	5	17	7963	1242	6721	1989	0
18	2022	5	18	7883	1321	6562	1300	0
19	2022	5	19	7254	734	6520	790	0
20	2022	5	20	7140	705	6435	618	0
21	2022	6	21	6872	542	6330	597	0
22	2022	6	22	7674	1334	6340	650	0
23	2022	6	23	7511	1152	6359	813	0
24	2022	6	24	7125	832	6293	732	0
25	2022	7	25	7084	805	6279	821	0
26	2022	7	26	6796	585	6211	804	0
27	2022	7	27	6729	556	6173	777	0
28	2022	7	28	6463	347	6116	692	0
29	2022	8	29	6078	30	6048	618	0
30	2022	8	30	5715	-217	5932	512	0
31	2022	8	31	5854	-68	5922	398	0
32	2022	8	32	6057	160	5897	467	0
33	2022	9	33	5667	-134	5801	333	0
34	2022	9	34	6148	382	5766	430	0
35	2022	9	35	5444	-252	5696	260	0
36	2022	9	36	5181	-469	5650	355	0
37	2022	10	37	5950	362	5588	349	0
38	2022	10	38	5005	-487	5492	504	0
39	2022	10	39	5079	-431	5510	555	0
40	2022	10	40	4695	-751	5446	576	0
41	2022	11	41	5881	493	5388	1018	0
42	2022	11	42	5590	226	5364	1061	0
43	2022	11	43	5460	107	5353	1089	0
44	2022	11	44	5355	-81	5436	937	0
45	2022	12	45	6309	945	5364	763	0
46	2022	12	46	5626	62	5564	817	0
47	2022	12	47	6311	709	5602	763	0
48	2022	12	48	6378	732	5646	606	2
49	2023	1	1	6501	863	5638	594	2
50	2023	1	2	6425	703	5722	609	2
51	2023	1	3	7742	1864	5878	950	2
52	2023	1	4	7443	1444	5999	1250	2
53	2023	2	5	8461	2300	6161	1247	1
54	2023	2	6	7455	1128	6327	1130	1
55	2023	2	7	7379	1194	6185	909	1
56	2023	2	8	6850	759	6091	781	1
57	2023	3	9	7397	1212	6185	766	1
58	2023	3	10	8567	2321	6246	925	1
59	2023	3	11	8838	2400	6438	1249	0
60	2023	3	12	8031	1548	6483	1391	0
61	2023	4	13	9123	2547	6576	1726	0
62	2023	4	14	8682	2024	6658	1917	0
63	2023	4	15	8010	1422	6588	1566	0
64	2023	4	16	7262	779	6483	1245	0
65	2023	5	17	6833	445	6388	911	0
66	2023	5	18	8564	2112	6452	1090	0
67	2023	5	19	7985	1598	6387	1511	0
68	2023	5	20	7764	1394	6370	1398	0
69	2023	6	21	6834	548	6286	1287	0
70	2023	6	22	6239	105	6134	1136	0
71	2023	6	23	6165	69	6096	816	0
72	2023	6	24	6471	358	6113	649	0
73	2023	7	25	6346	343	6003	560	0
74	2023	7	26	6365	352	6013	660	0
75	2023	7	27	6226	285	5941	833	0
76	2023	7	28	5630	-279	5909	717	0
77	2023	8	29	5554	-274	5828	609	0
78	2023	8	30	5781	11	5770	577	0
79	2023	8	31	5822	85	5737	616	0
80	2023	8	32	5235	-397	5632	626	0
81	2023	9	33	5122	-465	5587	524	0
82	2023	9	34	5648	68	5580	473	0
83	2023	9	35	5457	-56	5513	514	0
84	2023	9	36	4849	-589	5438	467	0
85	2023	10	37	5327	-170	5497	522	0
86	2023	10	38	4863	-583	5446	555	0
87	2023	10	39	4748	-637	5385	508	0
88	2023	10	40	4918	-418	5336	381	0
89	2023	11	41	4977	-346	5323	353	0
90	2023	11	42	4917	-398	5315	356	0
91	2023	11	43	5696	313	5383	423	0
92	2023	11	44	4893	-415	5308	568	0
93	2023	12	45	5255	28	5227	400	0
94	2023	12	46	6678	1297	5381	606	0
95	2023	12	47	5934	617	5317	812	0
96	2023	12	48	5609	299	5310	626	0
97	2024	1	1	5539	348	5191	557	0
98	2024	1	2	5995	754	5241	481	0
99	2024	1	3	6150	903	5247	554	0
100	2024	1	4	6601	1253	5348	709	0
101	2024	2	5	5847	591	5256	664	2
102	2024	2	6	6169	947	5222	733	2
103	2024	2	7	6222	856	5366	827	2
104	2024	2	8	6433	1135	5298	873	2
105	2024	3	9	6654	1246	5408	975	1
106	2024	3	10	7165	1692	5473	1102	0
107	2024	3	11	7644	2088	5556	1606	0
