Sim	Year	Month	QM	ontNTS	ontNBS	erieOut	stlouisontOut	iceInd
1	2022	1	1	8051	2016	6035	752	2
2	2022	1	2	8325	2238	6087	1099	2
3	2022	1	3	7994	1815	6179	1228	2
4	2022	1	4	7416	1397	6019	1231	2
5	2022	2	5	7932	1937	5995	1186	2
6	2022	2	6	7206	1209	5997	1350	1
7	2022	2	7	9273	3332	5941	1304	1
8	2022	2	8	8632	2505	6127	1798	1
9	2022	3	9	10024	3804	6220	2363	0
10	2022	3	10	9149	2984	6165	2683	0
11	2022	3	11	10062	3673	6389	2439	0
12	2022	3	12	10669	4151	6518	2636	0
13	2022	4	13	9811	3356	6455	2936	0
14	2022	4	14	10846	4286	6560	3185	0
15	2022	4	15	10182	3505	6677	3539	0
16	2022	4	16	9851	3244	6607	3130	0
17	2022	5	17	8220	1667	6553	2619	0
18	2022	5	18	8023	1604	6419	1949	0
19	2022	5	19	7172	774	6398	1365	0
20	2022	5	20	6960	636	6324	1033	0
21	2022	6	21	6634	425	6209	872	0
22	2022	6	22	7388	1162	6226	850	0
23	2022	6	23	7192	942	6250	1026	0
24	2022	6	24	6849	632	6217	909	0
25	2022	7	25	6894	672	6222	974	0
26	2022	7	26	6707	539	6168	917	0
27	2022	7	27	6706	552	6154	891	0
28	2022	7	28	6497	376	6121	787	0
29	2022	8	29	6219	139	6080	725	0
30	2022	8	30	5816	-161	5977	596	0
31	2022	8	31	6032	37	5995	466	0
32	2022	8	32	6296	309	5987	603	0
33	2022	9	33	5980	73	5907	411	0
34	2022	9	34	6425	534	5891	546	0
35	2022	9	35	5667	-174	5841	356	0
36	2022	9	36	5441	-354	5795	466	0
37	2022	10	37	6301	524	5777	496	0
38	2022	10	38	5201	-497	5698	685	0
39	2022	10	39	5542	-170	5712	682	0
40	2022	10	40	5166	-533	5699	759	0
41	2022	11	41	6683	1009	5674	1363	0
42	2022	11	42	6305	589	5716	1523	0
43	2022	11	43	6222	476	5746	1776	0
44	2022	11	44	6112	223	5889	1563	0
45	2022	12	45	6942	1120	5822	1341	0
46	2022	12	46	6301	186	6115	1326	0
47	2022	12	47	7096	910	6186	1189	0
48	2022	12	48	7484	1183	6301	1021	2
49	2023	1	1	7801	1425	6376	1025	2
50	2023	1	2	7729	1225	6504	1023	2
51	2023	1	3	9434	2719	6715	1279	2
52	2023	1	4	9342	2439	6903	1536	2
53	2023	2	5	10137	3110	7027	1358	2
54	2023	2	6	9207	2002	7205	1348	0
55	2023	2	7	9071	1985	7086	1227	0
56	2023	2	8	8349	1339	7010	1132	0
57	2023	3	9	8958	1861	7097	1119	0
58	2023	3	10	10157	2961	7196	1355	0
59	2023	3	11	10542	3079	7463	1585	0
60	2023	3	12	9666	2139	7527	1691	0
61	2023	4	13	11165	3480	7685	2213	0
62	2023	4	14	10600	2887	7713	2338	0
63	2023	4	15	9793	2248	7545	2205	0
64	2023	4	16	8618	1181	7437	1869	0
65	2023	5	17	7875	615	7260	1249	0
66	2023	5	18	9664	2374	7290	1511	0
67	2023	5	19	9138	1885	7253	1920	0
68	2023	5	20	8941	1771	7170	1687	0
69	2023	6	21	8099	961	7138	1579	0
70	2023	6	22	7376	389	6987	1311	0
71	2023	6	23	7171	302	6869	902	0
72	2023	6	24	7493	657	6836	788	0
73	2023	7	25	7384	640	6744	707	0
74	2023	7	26	7493	709	6784	791	0
75	2023	7	27	7078	523	6555	945	0
76	2023	7	28	6477	-96	6573	886	0
77	2023	8	29	6575	4	6571	798	0
78	2023	8	30	6813	295	6518	779	0
79	2023	8	31	6859	357	6502	837	0
80	2023	8	32	6212	-137	6349	879	0
81	2023	9	33	6081	-209	6290	765	0
82	2023	9	34	6514	297	6217	718	0
83	2023	9	35	6449	193	6256	685	0
84	2023	9	36	5728	-418	6146	670	0
85	2023	10	37	6181	79	6102	608	0
