	QM	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR
0	1	1.1444545454545456	1.1526859504132232	1.0689338842975205	1.0761188119008265	1.0938811880991737	1.1147524752066114	1.116554455371901	1.1948415841322313	1.0713465347107438	1.247386138677686	1.3251584158677687	1.0766930692561985	1.083673267272727	1.0727128712396692	1.0419702970247935	1.0419702970247935	1.0023663366942148
1	2	1.397793388429752	1.4129173553719008	1.1286776859504128	1.1750297029752066	1.21953465338843	1.3080297029752064	1.326	1.541792079173554	1.1228118811570247	1.5946831682644624	1.568019801983471	1.1235841583471073	1.1257920791735538	1.1164257426446282	1.0755841583471075	1.0755841583471075	1.0272574257851241
2	3	1.597867768595041	1.609181818181818	1.1300661157024792	1.2446930692561982	1.2820297029752066	1.4470297029752064	1.4661881188429753	1.70017821785124	1.1314059406611572	1.6907326732231405	1.6974554456198345	1.1301584158677689	1.139405940661157	1.122782178181818	1.0663861386776863	1.0663861386776863	1.0117128712396695
3	4	1.6418264462809915	1.6529173553719012	1.1369090909090909	1.2559504950413227	1.2800990099173555	1.4629108910743802	1.4724950495867766	1.6722475247933883	1.1252772277685952	1.6904059406611573	1.703019801983471	1.1312376238016528	1.1432673267768594	1.1299702970247933	1.088594059338843	1.088594059338843	1.0452673267768593
4	5	1.693099173553719	1.6999504132231407	1.1285454545454545	1.2685544553719008	1.3154257426446279	1.5165544553719008	1.5262772277685954	1.7395940593388433	1.1199306930578512	1.654811881157025	1.709326732727273	1.1407425742148762	1.1529603960330577	1.1448019801652891	1.0971386138842976	1.0971386138842976	1.0522178218181817
5	6	1.7249504132231406	1.7292975206611572	1.1240578512396693	1.27008910892562	1.3323762376859503	1.5186435642975207	1.524792079173554	1.7329603960330575	1.115871287107438	1.6582475247933885	1.7377227722314053	1.1455544553719008	1.1641188119008266	1.1361485148760333	1.0838712871074383	1.0838712871074383	1.0348415841322316
6	7	1.6522727272727271	1.657892561983471	1.079892561983471	1.268504950413223	1.3292277228099172	1.5047920791735538	1.5050792079338844	1.6917920791735535	1.1095841583471076	1.5869009900826447	1.7147128712396693	1.1343762376859505	1.1483861386776857	1.1345841583471072	1.08391089107438	1.08391089107438	1.0378910890909092
7	8	1.5841487603305786	1.5896033057851238	1.0742727272727273	1.2502871287603303	1.2954851485950414	1.4574059406611573	1.4591683168595044	1.6099108910743796	1.1019900990082645	1.5505544553719006	1.7804752476033054	1.1237722771900824	1.1418316831404958	1.1048811880991738	1.0663267327272727	1.0663267327272727	1.0526831682644626
8	9	1.5099752066115701	1.5135537190082646	1.0576694214876032	1.2275148514049585	1.2642079208264463	1.3851485148760334	1.3903069307438016	1.5209702970247936	1.0963564357024795	1.5383861386776858	1.7749405940495866	1.110237623801653	1.123069306942149	1.1057029702479337	1.0821584158677686	1.0821584158677686	1.068613861322314
9	10	1.404123966942149	1.4078842975206611	1.0364214876033058	1.1834554456198347	1.2168316831404957	1.300950495041322	1.3063564357024795	1.4108613861157022	1.0883366337190084	1.505504950413223	1.786346534710744	1.083722772231405	1.0899009900826444	1.070594059338843	1.0625841583471074	1.0625841583471074	1.0583069307438018
10	11	1.2812892561983473	1.2847603305785125	1.023776859504132	1.1094158416528928	1.1316732672727272	1.1993069307438016	1.1969801980165287	1.279831683140496	1.0742475247933887	1.414792079173554	1.6587920791735538	1.0556138613223138	1.059613861322314	1.045702970247934	1.0296633662809915	1.0296633662809915	1.016782178181818
11	12	1.1150826446280988	1.1165537190082646	1.016694214876033	1.0198415841322315	1.0394356436363636	1.070871287107438	1.06408910892562	1.11	1.051237623801653	1.292851485123967	1.517495049586777	1.017168316859504	1.0126237623140495	1.0058118811570247	1.0039207920661157	1.0039207920661157	1.0028613861157023
12	13	1.0098512396694215	1.0094462809917355	1.0123553719008265	1.002831683140496	0.9922079208264463	1.0009108910743802	0.9934257426446281	1.011277227768595	1.0212475247933883	1.115594059338843	1.2506435642975207	1.0154851485950411	1.0155445543801653	1.0188613861157023	1.0280000000000002	1.0280000000000002	1.0206633662809916
13	14	0.970702479338843	0.9671735537190081	1.0058512396694215	0.9712376238016531	0.9719009900826445	0.9750198019834712	0.9676633662809916	0.9758514851239669	1.0044455446280989	0.9970792079338843	1.0176930692561983	1.0048316831404958	1.0050297029752064	1.0116237623140496	1.0249900990082645	1.0249900990082645	1.0116039603305786
14	15	0.985206611570248	0.9804710743801652	1.0050165289256199	0.9966831682644629	0.9825148514049586	0.9854554456198346	0.9752178218181816	0.9849108910743801	0.9973267327272726	0.9379702970247933	0.8752475247933885	1.0010891089256198	1.0012079208264464	1.0066930692561984	1.011871287107438	1.011871287107438	1.0113168317355372
15	16	0.9922066115702479	0.9877355371900827	1.0049421487603305	1.0233366337190082	1.0006039603305785	1.0020495049586777	0.9971188119008265	1.0014158416528927	0.9952277228099172	0.949445544628099	0.8986237623140495	1.0059603960330579	1.0098019801652895	1.0171386138842975	1.0101485148760332	1.0101485148760332	1.0281584158677688
16	17	0.980413223140496	0.9741239669421488	1.0037438016528926	1.0039504950413223	0.983633663305785	0.9849207920661158	0.9819108910743802	0.9840792079338844	0.9889306930578512	0.9291188119008266	0.8667623761983472	1.0039900990082642	1.0062277228099172	1.0116039603305786	1.0176831682644627	1.0176831682644627	1.0068019801652894
17	18	0.9769669421487601	0.9701735537190083	1.0035702479338842	1.020257425785124	0.9879207920661158	0.989019801983471	0.9853762376859506	0.9890693069421486	0.9895841583471074	0.9329900990082644	0.8787326732231405	0.9994158416528925	1.0034455446280992	1.0076336633057852	1.0196732672727273	1.0196732672727273	1.0062772277685952
18	19	0.9811570247933884	0.9743388429752065	1.0036528925619834	1.0109702970247934	0.9869801980165288	0.9879702970247936	0.9844752476033058	0.9877722771900825	0.9899702970247933	0.9381188119008264	0.8823267327272726	1.0014554456198346	1.0056534652892561	1.0106237623140495	1.0242871287603303	1.0242871287603303	1.016168316859504
