Unnamed: 0	Sim	Year	Month	QM	ontNTS	ontNBS	erieOut	stlouisontOut	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	flowRegime	alexbayLevel	brockvilleLevel	ogdensburgLevel	cardinalLevel	iroquoishwLevel	iroquoistwLevel	morrisburgLevel	longsaultLevel	saundershwLevel	saunderstwLevel	cornwallLevel	summerstownLevel	lerybeauharnoisLevel	ptclaireLevel	jetty1Level	stlambertLevel	varennesLevel	sorelLevel	lacstpierreLevel	maskinongeLevel	troisrivieresLevel	batiscanLevel	freshetIndicator
0	1	2022	1	1	8051	2016	6035	752	2	1.144454545	1.15268595	1.068933884	1.076118812	1.093881188	1.114752475	1.116554455	1.194841584	1.071346535	1.247386139	1.325158416	1.076693069	1.083673267	1.072712871	1.041970297	1.041970297	1.002366337																				74.744				nan																							
1	2	2022	1	2	8325	2238	6087	1099	2	1.397793388	1.412917355	1.128677686	1.175029703	1.219534653	1.308029703	1.326	1.541792079	1.122811881	1.594683168	1.568019802	1.123584158	1.125792079	1.116425743	1.075584158	1.075584158	1.027257426																				74.744				nan																							
2	3	2022	1	3	7994	1815	6179	1228	2	1.597867769	1.609181818	1.130066116	1.244693069	1.282029703	1.447029703	1.466188119	1.700178218	1.131405941	1.690732673	1.697455446	1.130158416	1.139405941	1.122782178	1.066386139	1.066386139	1.011712871																				74.744				nan																							
3	4	2022	1	4	7416	1397	6019	1231	2	1.641826446	1.652917355	1.136909091	1.255950495	1.28009901	1.462910891	1.47249505	1.672247525	1.125277228	1.690405941	1.703019802	1.131237624	1.143267327	1.129970297	1.088594059	1.088594059	1.045267327																				74.744				nan																							
4	5	2022	2	5	7932	1937	5995	1186	2	1.693099174	1.699950413	1.128545455	1.268554455	1.315425743	1.516554455	1.526277228	1.739594059	1.119930693	1.654811881	1.709326733	1.140742574	1.152960396	1.14480198	1.097138614	1.097138614	1.052217822																				74.744				nan																							
5	6	2022	2	6	7206	1209	5997	1350	1	1.724950413	1.729297521	1.124057851	1.270089109	1.332376238	1.518643564	1.524792079	1.732960396	1.115871287	1.658247525	1.737722772	1.145554455	1.164118812	1.136148515	1.083871287	1.083871287	1.034841584									1012.227525696	883.7485521052672	829.1542740489865	1024.9760993551297								74.744				nan																							
6	7	2022	2	7	9273	3332	5941	1304	1	1.652272727	1.657892562	1.079892562	1.26850495	1.329227723	1.504792079	1.505079208	1.691792079	1.109584158	1.58690099	1.714712871	1.134376238	1.148386139	1.134584158	1.083910891	1.083910891	1.037891089									1177.002614296	1035.320878027787	1177.0562747096783	1135.014649262505								74.744				nan																							
7	8	2022	2	8	8632	2505	6127	1798	1	1.58414876	1.589603306	1.074272727	1.250287129	1.295485149	1.457405941	1.459168317	1.609910891	1.101990099	1.550554455	1.780475248	1.123772277	1.141831683	1.104881188	1.066326733	1.066326733	1.052683168									1145.580008296	1254.5718264985871	1192.194514872427	1397.6676733601705								74.744				nan																							
8	9	2022	3	9	10024	3804	6220	2363	0	1.509975207	1.513553719	1.057669421	1.227514851	1.264207921	1.385148515	1.390306931	1.520970297	1.096356436	1.538386139	1.774940594	1.110237624	1.123069307	1.10570297	1.082158416	1.082158416	1.068613861									1821.002863296	1590.4129142095874	1691.4161410161173	2024.676423961465								74.744				nan																							
9	10	2022	3	10	9149	2984	6165	2683	0	1.404123967	1.407884298	1.036421488	1.183455446	1.216831683	1.300950495	1.306356436	1.410861386	1.088336634	1.50550495	1.786346535	1.083722772	1.08990099	1.070594059	1.062584158	1.062584158	1.058306931									2060.974828296	2022.2356054225872	2268.707616146244	2702.1263872207965								74.744				nan																							
10	11	2022	3	11	10062	3673	6389	2439	0	1.281289256	1.284760331	1.02377686	1.109415842	1.131673267	1.199306931	1.196980198	1.279831683	1.074247525	1.414792079	1.658792079	1.055613861	1.059613861	1.04570297	1.029663366	1.029663366	1.016782178									2562.277859496	2648.3738915104277	2982.1897564536266	3008.827527269054								74.744				nan																							
11	12	2022	3	12	10669	4151	6518	2636	0	1.115082645	1.116553719	1.016694215	1.019841584	1.039435644	1.070871287	1.064089109	1.11	1.051237624	1.292851485	1.51749505	1.017168317	1.012623762	1.005811881	1.003920792	1.003920792	1.002861386									2541.344053896	2906.944496488507	2953.322357618636	3047.5679672796664								74.744				nan																							
12	13	2022	4	13	9811	3356	6455	2936	0	1.00985124	1.009446281	1.012355372	1.002831683	0.992207921	1.000910891	0.993425743	1.011277228	1.021247525	1.115594059	1.250643564	1.015485149	1.015544554	1.018861386	1.028	1.028	1.020663366									2989.124788896	3011.0976248155075	3090.186279833137	2991.794854486905								74.744				nan																							
13	14	2022	4	14	10846	4286	6560	3185	0	0.970702479	0.967173554	1.00585124	0.971237624	0.97190099	0.975019802	0.967663366	0.975851485	1.004445545	0.997079208	1.017693069	1.004831683	1.005029703	1.011623762	1.024990099	1.024990099	1.01160396									2964.9746830960003	3057.7604365599477	2967.87571416138	2904.611645424576								74.744				nan																							
14	15	2022	4	15	10182	3505	6677	3539	0	0.985206612	0.980471074	1.005016529	0.996683168	0.982514851	0.985455446	0.975217822	0.984910891	0.997326733	0.937970297	0.875247525	1.001089109	1.001207921	1.006693069	1.011871287	1.011871287	1.011316832									3248.786416696	3102.172839671467	3003.676818944561	2795.830642691094								74.744				nan																							
15	16	2022	4	16	9851	3244	6607	3130	0	0.992206612	0.987735537	1.004942149	1.023336634	1.00060396	1.002049505	0.997118812	1.001415842	0.995227723	0.949445545	0.898623762	1.005960396	1.00980198	1.017138614	1.010148515	1.010148515	1.028158416									3354.136272696	3180.814843650667	2926.497692248903	2640.463802069227								74.744				nan																							
16	17	2022	5	17	8220	1667	6553	2619	0	0.980413223	0.974123967	1.003743802	1.003950495	0.983633663	0.984920792	0.981910891	0.984079208	0.988930693	0.929118812	0.866762376	1.003990099	1.006227723	1.01160396	1.017683168	1.017683168	1.00680198									2986.219731696	2789.6913575544672	2539.547693599582	2261.235321780461								74.744				nan																							
17	18	2022	5	18	8023	1604	6419	1949	0	0.976966942	0.970173554	1.003570248	1.020257426	0.987920792	0.989019802	0.985376238	0.989069307	0.989584158	0.932990099	0.878732673	0.999415842	1.003445545	1.007633663	1.019673267	1.019673267	1.006277228									2470.871186496	2315.407330611827	2095.896682789662	1867.8160658629995								74.744				nan																							
18	19	2022	5	19	7172	774	6398	1365	0	0.981157025	0.974338843	1.003652893	1.010970297	0.986980198	0.987970297	0.984475248	0.987772277	0.989970297	0.938118812	0.882326733	1.001455446	1.005653465	1.010623762	1.024287129	1.024287129	1.016168317									1862.318766496	1777.3615195678274	1632.8464706692614	1455.218925539377								74.744				nan																							
19	20	2022	5	20	6960	636	6324	1033	0	0.981553719	0.975975207	1.000892562	1.019227723	0.991138614	0.99150495	0.988613861	0.993653465	0.987277228	0.927039604	0.866029703	0.994188119	0.998178218	1.002712871	1.023643564	1.023643564	1.02450495									1345.589366496	1329.2973984878272	1231.3039207076054	1114.417573317539								74.744				nan																							
20	21	2022	6	21	6634	425	6209	872	0	0.981826446	0.975586777	0.998801653	1.006069307	0.986980198	0.986980198	0.983227723	0.989653465	0.988029703	0.931039604	0.883792079	0.986009901	0.990158416	0.986158416	0.996673267	0.996673267	0.996138614									1057.9073104959998	1040.508361468627	973.6759519979356	890.4132790424372								74.744				nan																							
21	22	2022	6	22	7388	1162	6226	850	0	0.990743802	0.983669421	0.997842975	1.029287129	1.004623762	1.004643564	0.995128713	1.004049505	0.990168317	0.935881188	0.87929703	0.983752475	0.991019802	0.987	0.986544554	0.986544554	0.99019802					6245.8762515004	6206.040856883828	6251.303273691557	6264.315837876023	879.103634496	860.2034763654273	806.7095478897376	737.7776737611787								74.744				nan																							
22	23	2022	6	23	7192	942	6250	1026	0	1.003338843	0.99492562	1.000471074	1.030762376	1.012861386	1.010574257	1.005029703	1.013940594	0.992762376	0.944841584	0.90149505	0.990475248	0.996910891	0.991247525	0.99249505	0.99249505	1.005485149					6226.0	6216.6512950304	6268.6203923504	6258.683070423692	834.935700896	788.9455264139071	724.6739244200679	646.9422607039073								74.744				nan																							
23	24	2022	6	24	6849	632	6217	909	0	1.017471074	1.010206612	1.001471074	1.040128713	1.023465347	1.022574257	1.015039604	1.022960396	0.998306931	0.971188119	0.962346535	0.998415842	1.008158416	1.001841584	1.003435644	1.003435644	1.014485149					6250.0	6268.6203923504	6277.6518138104	6242.495786499308	954.827550896	841.2940775839073	732.9678972558619	656.2379153991658								74.744				nan																							
24	25	2022	7	25	6894	672	6222	974	0	1.020520661	1.013413223	1.001528926	1.032227723	1.023554455	1.020524752	1.01449505	1.023584158	0.998752475	0.97850495	0.970326733	0.998455446	1.004346535	0.998554455	1.002207921	1.002207921	1.002039604					6217.0	6277.6518138104	6213.1341073304	6212.647047335756	801.506597896	704.9960781893072	635.6043158416701	600.2265714150901								74.744				nan																							
25	26	2022	7	26	6707	539	6168	917	0	1.032429752	1.026528926	1.002933884	1.042366337	1.032188119	1.029306931	1.021554455	1.030326733	1.001673267	0.996574257	1.009524752	0.998079208	1.002643564	0.997118812	0.98350495	0.98350495	1.001693069					6222.0	6213.1341073304	6180.9922956404	6181.384037899932	854.754849896	740.8893275757071	677.8907650221424	631.9604860862064								74.744				nan																							
